appMasterHost,appId,runtime
normal_cluster,application_1758535431786_10168,0 days 00:01:50.593000
normal_cluster,application_1758535431786_10173,0 days 00:00:53.889000
normal_cluster,application_1758535431786_10177,0 days 00:00:29.058000
normal_cluster,application_1758535431786_10179,0 days 00:00:35.976000
normal_cluster,application_1758535431786_10171,0 days 00:01:29.371000
normal_cluster,application_1758535431786_10091,0 days 00:11:54.464000
normal_cluster,application_1758535431786_10174,0 days 00:00:48.711000
normal_cluster,application_1758535431786_10167,0 days 00:02:13.719000
normal_cluster,application_1758535431786_10114,0 days 00:09:35.518000
normal_cluster,application_1758535431786_10119,0 days 00:09:34.507000
normal_cluster,application_1758535431786_10166,0 days 00:02:30.211000
normal_cluster,application_1758535431786_10183,0 days 00:00:42.103000
normal_cluster,application_1758535431786_10181,0 days 00:00:51.892000
normal_cluster,application_1758535431786_10160,0 days 00:04:30.316000
normal_cluster,application_1758535431786_10192,0 days 00:00:13.665000
normal_cluster,application_1758535431786_10182,0 days 00:01:01.795000
normal_cluster,application_1758535431786_10186,0 days 00:00:32.443000
normal_cluster,application_1758535431786_10193,0 days 00:00:20.886000
normal_cluster,application_1758535431786_10190,0 days 00:00:36.859000
normal_cluster,application_1758535431786_10194,0 days 00:00:31.439000
normal_cluster,application_1758535431786_10185,0 days 00:00:51.529000
normal_cluster,application_1758535431786_10198,0 days 00:00:42.652000
normal_cluster,application_1758535431786_10188,0 days 00:00:57.646000
normal_cluster,application_1758535431786_10125,0 days 00:09:56.882000
normal_cluster,application_1758535431786_10159,0 days 00:05:12.905000
normal_cluster,application_1758535431786_10184,0 days 00:01:24.067000
normal_cluster,application_1758535431786_9399,0 days 02:21:03.996000
normal_cluster,application_1758535431786_10209,0 days 00:00:46.961000
normal_cluster,application_1758535431786_10213,0 days 00:00:38.156000
normal_cluster,application_1758535431786_10218,0 days 00:00:38.480000
normal_cluster,application_1758535431786_10201,0 days 00:01:20.121000
normal_cluster,application_1758535431786_10220,0 days 00:00:46.862000
normal_cluster,application_1758535431786_10223,0 days 00:00:26.197000
normal_cluster,application_1758535431786_10187,0 days 00:01:58.313000
normal_cluster,application_1758535431786_10219,0 days 00:00:51.747000
normal_cluster,application_1758535431786_10221,0 days 00:00:49.135000
normal_cluster,application_1758535431786_9999,0 days 00:43:49.069000
normal_cluster,application_1758535431786_10204,0 days 00:01:36.021000
normal_cluster,application_1758535431786_10224,0 days 00:00:23.256000
normal_cluster,application_1758535431786_10225,0 days 00:00:24.397000
normal_cluster,application_1758535431786_10205,0 days 00:01:44.105000
normal_cluster,application_1758535431786_10222,0 days 00:00:45.825000
normal_cluster,application_1758535431786_10196,0 days 00:02:05.570000
normal_cluster,application_1758535431786_10227,0 days 00:00:17.633000
normal_cluster,application_1758535431786_10180,0 days 00:03:13.230000
normal_cluster,application_1758535431786_10216,0 days 00:01:43.663000
normal_cluster,application_1758535431786_10217,0 days 00:01:54.128000
normal_cluster,application_1758535431786_10189,0 days 00:02:47.201000
normal_cluster,application_1758535431786_10202,0 days 00:02:26.689000
normal_cluster,application_1758535431786_10231,0 days 00:00:31.870000
normal_cluster,application_1758535431786_10232,0 days 00:00:26.657000
normal_cluster,application_1758535431786_10207,0 days 00:02:44.641000
normal_cluster,application_1758535431786_10072,0 days 00:21:06.095000
