task_id,label,feat
0,application_1758535431786_10168,"[5841285, 4224]"
1,application_1758535431786_10173,"[169088, 82]"
2,application_1758535431786_10177,"[342563, 77]"
3,application_1758535431786_10179,"[410141, 94]"
4,application_1758535431786_10171,"[342854, 166]"
5,application_1758535431786_10091,"[18112719, 12003]"
6,application_1758535431786_10174,"[1955193, 1372]"
7,application_1758535431786_10167,"[3341272, 5313]"
8,application_1758535431786_10114,"[32376217, 58038]"
9,application_1758535431786_10119,"[8790234, 11991]"
10,application_1758535431786_10166,"[3824062, 6105]"
11,application_1758535431786_10183,"[484115, 110]"
12,application_1758535431786_10181,"[591198, 135]"
13,application_1758535431786_10160,"[7523602, 9663]"
14,application_1758535431786_10192,"[152310, 34]"
15,application_1758535431786_10182,"[5630706, 8340]"
16,application_1758535431786_10186,"[1364379, 489]"
17,application_1758535431786_10193,"[217530, 49]"
18,application_1758535431786_10190,"[387139, 89]"
19,application_1758535431786_10194,"[353746, 79]"
20,application_1758535431786_10185,"[199519, 97]"
21,application_1758535431786_10198,"[1932522, 1373]"
22,application_1758535431786_10188,"[707834, 160]"
23,application_1758535431786_10125,"[7853760, 1770]"
24,application_1758535431786_10159,"[16565463, 11996]"
25,application_1758535431786_10184,"[1023706, 232]"
26,application_1758535431786_9399,"[181915009, 25380]"
27,application_1758535431786_10209,"[914234, 346]"
28,application_1758535431786_10213,"[1972539, 1415]"
29,application_1758535431786_10218,"[456663, 103]"
30,application_1758535431786_10201,"[1744568, 1248]"
31,application_1758535431786_10220,"[984137, 372]"
32,application_1758535431786_10223,"[293266, 67]"
33,application_1758535431786_10187,"[2531043, 1809]"
34,application_1758535431786_10219,"[181923, 88]"
35,application_1758535431786_10221,"[598387, 135]"
36,application_1758535431786_9999,"[61885223, 7883]"
37,application_1758535431786_10204,"[1181695, 268]"
38,application_1758535431786_10224,"[151430, 37]"
39,application_1758535431786_10225,"[263746, 60]"
40,application_1758535431786_10205,"[1329526, 300]"
41,application_1758535431786_10222,"[570424, 128]"
42,application_1758535431786_10196,"[2067621, 359]"
43,application_1758535431786_10227,"[144770, 34]"
44,application_1758535431786_10180,"[14841563, 6198]"
45,application_1758535431786_10216,"[1278880, 290]"
46,application_1758535431786_10217,"[1414446, 320]"
47,application_1758535431786_10189,"[10670141, 4122]"
48,application_1758535431786_10202,"[1885880, 425]"
49,application_1758535431786_10231,"[340092, 78]"
50,application_1758535431786_10232,"[284127, 65]"
51,application_1758535431786_10207,"[2142963, 483]"
52,application_1758535431786_10072,"[30044706, 37676]"
53,application_1758535431786_10230,"[697203, 156]"
54,application_1758535431786_10236,"[308303, 69]"
55,application_1758535431786_10237,"[71966, 34]"
56,application_1758535431786_10191,"[5072920, 1776]"
57,application_1758535431786_10132,"[8609332, 1941]"
58,application_1758535431786_10242,"[335894, 130]"
59,application_1758535431786_10239,"[4742411, 1701]"
60,application_1758535431786_10243,"[305331, 69]"
61,application_1758535431786_10206,"[5917258, 2267]"
62,application_1758535431786_10247,"[326878, 74]"
63,application_1758535431786_10228,"[1537386, 349]"
64,application_1758535431786_10240,"[884483, 349]"
65,application_1758535431786_10153,"[15689882, 20186]"
66,application_1758535431786_10233,"[2963838, 1034]"
67,application_1758535431786_10241,"[954270, 369]"
68,application_1758535431786_10226,"[4085649, 1556]"
69,application_1758535431786_10251,"[148630, 35]"
70,application_1758535431786_10250,"[397764, 217]"
71,application_1758535431786_10244,"[1180056, 457]"
72,application_1758535431786_10235,"[2245660, 1308]"
73,application_1758535431786_10255,"[168160, 40]"
74,application_1758535431786_10256,"[194398, 45]"
75,application_1758535431786_10246,"[2413702, 1593]"
76,application_1758535431786_10258,"[180462, 43]"
77,application_1758535431786_10137,"[30683925, 21698]"
78,application_1758535431786_10253,"[550878, 126]"
79,application_1758535431786_10252,"[707846, 159]"
80,application_1758535431786_10262,"[238352, 53]"
81,application_1758535431786_10238,"[4689003, 1572]"
82,application_1758535431786_10263,"[228772, 53]"
83,application_1758535431786_10265,"[277947, 63]"
84,application_1758535431786_10267,"[313393, 116]"
85,application_1758535431786_10264,"[1116962, 253]"
86,application_1758535431786_10229,"[19425955, 14280]"
87,application_1758535431786_10170,"[13882488, 4866]"
88,application_1758535431786_10110,"[151071582, 123933]"
89,application_1758535431786_10200,"[9655237, 1232]"
90,application_1758535431786_10257,"[1466562, 332]"
91,application_1758535431786_10075,"[444353555, 528852]"
92,application_1758535431786_10273,"[1248965, 283]"
93,application_1758535431786_10272,"[2237028, 852]"
94,application_1758535431786_10249,"[8498970, 3037]"
95,application_1758535431786_10271,"[1317265, 297]"
96,application_1758535431786_10175,"[47868588, 20022]"
97,application_1758535431786_10260,"[1236209, 728]"
98,application_1758535431786_10248,"[6553321, 2276]"
99,application_1758535431786_10266,"[17325689, 7288]"
100,application_1758535431786_10195,"[43344152, 33935]"
101,application_1758535431786_10210,"[27004371, 10435]"
102,application_1758535431786_10270,"[1228699, 487]"
103,application_1758535431786_10281,"[124999, 28]"
104,application_1758535431786_10276,"[288317, 66]"
105,application_1758535431786_10282,"[225127, 55]"
106,application_1758535431786_10268,"[3948960, 1336]"
107,application_1758535431786_10259,"[3489405, 786]"
108,application_1758535431786_10287,"[483739, 320]"
109,application_1758535431786_10278,"[3726244, 5343]"
110,application_1758535431786_10277,"[1472956, 559]"
111,application_1758535431786_10211,"[28988196, 51461]"
112,application_1758535431786_10288,"[289785, 66]"
113,application_1758535431786_10283,"[3567782, 1273]"
114,application_1758535431786_10285,"[3573247, 1319]"
115,application_1758535431786_10212,"[13866146, 5294]"
116,application_1758535431786_10293,"[75662, 36]"
117,application_1758535431786_10275,"[1551244, 349]"
118,application_1758535431786_10274,"[1603865, 362]"
119,application_1758535431786_10296,"[186531, 43]"
120,application_1758535431786_10176,"[21164007, 27251]"
121,application_1758535431786_10289,"[917761, 207]"
122,application_1758535431786_10290,"[939272, 212]"
123,application_1758535431786_10279,"[7044639, 5181]"
124,application_1758535431786_10300,"[262348, 59]"
125,application_1758535431786_10299,"[203966, 47]"
126,application_1758535431786_10294,"[1120461, 253]"
127,application_1758535431786_10298,"[633120, 144]"
128,application_1758535431786_10297,"[902994, 205]"
129,application_1758535431786_10304,"[132559, 28]"
130,application_1758535431786_10291,"[3618889, 1378]"
131,application_1758535431786_10301,"[27857901, 15639]"
132,application_1758535431786_10305,"[338911, 76]"
133,application_1758535431786_10284,"[5420804, 1199]"
134,application_1758535431786_10269,"[40808894, 15496]"
135,application_1758535431786_10261,"[6130505, 1384]"
136,application_1758535431786_10214,"[110703600, 33536]"
137,application_1758535431786_10295,"[5348022, 3847]"
138,application_1758535431786_10311,"[341435, 104]"
139,application_1758535431786_10286,"[15239696, 10905]"
140,application_1758535431786_10310,"[591898, 228]"
141,application_1758535431786_10306,"[29820875, 20165]"
142,application_1758535431786_10309,"[4553907, 973]"
143,application_1758535431786_10312,"[297118, 66]"
144,application_1758535431786_10313,"[443746, 148]"
145,application_1758535431786_10307,"[5551496, 3948]"
146,application_1758535431786_10254,"[8258109, 1863]"
147,application_1758535431786_10303,"[2469978, 557]"
148,application_1758535431786_10327,"[217410, 80]"
149,application_1758535431786_10316,"[373013, 133]"
150,application_1758535431786_10203,"[23939987, 8409]"
151,application_1758535431786_10280,"[33335223, 13946]"
152,application_1758535431786_10332,"[256798, 58]"
153,application_1758535431786_10308,"[16340850, 13588]"
154,application_1758535431786_10215,"[26177250, 33722]"
155,application_1758535431786_10330,"[115952, 55]"
156,application_1758535431786_10335,"[217159, 48]"
157,application_1758535431786_10336,"[65752, 32]"
158,application_1758535431786_10063,"[32770032, 7387]"
159,application_1758535431786_10333,"[157873, 93]"
160,application_1758535431786_10140,"[150645259, 57430]"
161,application_1758535431786_10337,"[389183, 151]"
162,application_1758535431786_10319,"[1457741, 253]"
163,application_1758535431786_10334,"[452460, 105]"
164,application_1758535431786_10338,"[777079, 176]"
165,application_1758535431786_10315,"[2725935, 1037]"
166,application_1758535431786_10339,"[1778338, 1247]"
167,application_1758535431786_10331,"[375846, 182]"
168,application_1758535431786_10340,"[764709, 172]"
169,application_1758535431786_10341,"[141954, 68]"
170,application_1758535431786_10329,"[4245710, 1803]"
171,application_1758535431786_10344,"[78429, 37]"
172,application_1758535431786_10326,"[3016743, 1974]"
173,application_1758535431786_10321,"[9006138, 6541]"
174,application_1758535431786_10328,"[2213630, 431]"
175,application_1758535431786_10345,"[389396, 87]"
176,application_1758535431786_10292,"[15009476, 24878]"
177,application_1758535431786_10349,"[183170, 88]"
178,application_1758535431786_10348,"[1408965, 904]"
179,application_1758535431786_10352,"[124687, 130]"
180,application_1758535431786_10322,"[47396002, 20246]"
181,application_1758535431786_10357,"[1438222, 576]"
182,application_1758535431786_10346,"[3058242, 1163]"
183,application_1758535431786_10245,"[28386253, 36612]"
184,application_1758535431786_10360,"[81258, 38]"
185,application_1758535431786_10361,"[96651, 46]"
186,application_1758535431786_10358,"[10914105, 5766]"
187,application_1758535431786_10208,"[29003957, 11080]"
188,application_1758535431786_10320,"[28544554, 42003]"
189,application_1758535431786_10199,"[480163795, 102355]"
190,application_1758535431786_10355,"[20967061, 9694]"
191,application_1758535431786_10317,"[17620702, 6477]"
192,application_1758535431786_10354,"[6061534, 4180]"
193,application_1758535431786_10367,"[705934, 1017]"
194,application_1758535431786_10353,"[47007360, 32248]"
195,application_1758535431786_10369,"[315863, 71]"
196,application_1758535431786_10302,"[18655305, 24049]"
197,application_1758535431786_10372,"[693646, 986]"
198,application_1758535431786_10368,"[893055, 202]"
199,application_1758535431786_9974,"[54155201, 12210]"
200,application_1758535431786_10366,"[1137120, 256]"
201,application_1758535431786_10347,"[2016971, 982]"
202,application_1758535431786_10370,"[1642865, 583]"
203,application_1758535431786_10365,"[2851594, 1086]"
204,application_1758535431786_10364,"[31221686, 26720]"
205,application_1758535431786_10374,"[319894, 73]"
206,application_1758535431786_10373,"[922221, 207]"
207,application_1758535431786_10375,"[2360885, 825]"
208,application_1758535431786_10377,"[1067655, 404]"
209,application_1758535431786_10379,"[623850, 236]"
210,application_1758535431786_10376,"[29395206, 16510]"
211,application_1758535431786_10371,"[5944745, 2122]"
212,application_1758535431786_10359,"[4541054, 1023]"
213,application_1758535431786_10380,"[239492, 141]"
214,application_1758535431786_10384,"[1151311, 438]"
215,application_1758535431786_10385,"[422470, 97]"
216,application_1758535431786_10381,"[23384726, 15845]"
217,application_1758535431786_10386,"[316870, 72]"
